"pagetitle-page-level-admin-permission";"Permissions"
"_EMAIL_PAGE_SUBSCRIPTION_ACTIVE_DESCRIPTION";"This is the email that gets sent to a member when their page subscription is activated"
"_EMAIL_PAGE_SUBSCRIPTION_ACTIVE_SUBJECT";"Your page subscription is now activate."
"_EMAIL_PAGE_SUBSCRIPTION_ACTIVE_BODY";"[header]

Thank you for subscribing your page to our social network! Your page subscription is now active.

[page_subscription_title]
[page_subscription_description]

You may follow the link below to sign in.

[object_link]

[footer]"

"_EMAIL_PAGE_SUBSCRIPTION_CANCELLED_TITLE";"Page Subscription Cancelled"
"_EMAIL_PAGE_SUBSCRIPTION_CANCELLED_DESCRIPTION";"This is the email that gets sent to a member when their page subscription is cancelled"
"_EMAIL_PAGE_SUBSCRIPTION_CANCELLED_SUBJECT";"Your page subscription has been cancelled."
"_EMAIL_PAGE_SUBSCRIPTION_CANCELLED_BODY";"[header]

Your page subscription has been cancelled.

[page_subscription_title]
[page_subscription_description]

Please follow the link below to renew your page subscription.

[object_link]

[footer]"

"_EMAIL_PAGE_SUBSCRIPTION_EXPIRED_TITLE";"Page Subscription Expired"
"_EMAIL_PAGE_SUBSCRIPTION_EXPIRED_DESCRIPTION";"This is the email that gets sent to a member when their page subscription expires."
"_EMAIL_PAGE_SUBSCRIPTION_EXPIRED_SUBJECT";"Your page subscription has expired."
"_EMAIL_PAGE_SUBSCRIPTION_EXPIRED_BODY";"[header]

Your page subscription has expired.

[page_subscription_title]
[page_subscription_description]

Please follow the link below to renew your page subscription.

[object_link]

[footer]"

"_EMAIL_PAGE_SUBSCRIPTION_OVERDUE_TITLE";"Page Subscription Overdue"
"_EMAIL_PAGE_SUBSCRIPTION_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when their page subscription is overdue."
"_EMAIL_PAGE_SUBSCRIPTION_OVERDUE_SUBJECT";"Your page subscription is overdue."
"_EMAIL_PAGE_SUBSCRIPTION_OVERDUE_BODY";"[header]

Your page subscription is overdue because of a failed or missed payment.

[page_subscription_title]
[page_subscription_description]

Please follow the link below to renew your page subscription.

[object_link]

[footer]"

"_EMAIL_PAGE_SUBSCRIPTION_PENDING_TITLE";"Page Subscription Pending"
"_EMAIL_PAGE_SUBSCRIPTION_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their page subscription is pending."
"_EMAIL_PAGE_SUBSCRIPTION_PENDING_SUBJECT";"Your page subscription is pending."
"_EMAIL_PAGE_SUBSCRIPTION_PENDING_BODY";"[header]

Thank you for subscribing your page to our social network! Your page subscription
is pending, awaiting completion of the transaction. Your page subscription will be
activated soon; we will notify you by email when it is ready.
Thank you for your patience.

[page_subscription_title]
[page_subscription_description]

[footer]"

"_EMAIL_PAGE_SUBSCRIPTION_RECURRENCE_TITLE";"Page Subscription Payment Recurrence"
"_EMAIL_PAGE_SUBSCRIPTION_RECURRENCE_DESCRIPTION";"This is the email that gets sent to a member when they are billed for a recurring payment for their page subscription."
"_EMAIL_PAGE_SUBSCRIPTION_RECURRENCE_SUBJECT";"Your page subscription has been billed."
"_EMAIL_PAGE_SUBSCRIPTION_RECURRENCE_BODY";"[header]

Your page subscription has been billed. You should receive an email from the
payment gateway regarding this charge. Thank you for subscribing your page
to our social network.

[page_subscription_title]
[page_subscription_description]

You may follow the link below to sign in.

[object_link]

[footer]"

"_EMAIL_PAGE_SUBSCRIPTION_REFUNDED_TITLE";"Page Subscription Refunded"
"_EMAIL_PAGE_SUBSCRIPTION_REFUNDED_DESCRIPTION";"This is the email that gets sent to a member when their page subscription is refunded."
"_EMAIL_PAGE_SUBSCRIPTION_REFUNDED_SUBJECT";"Your page subscription has been refunded."
"_EMAIL_PAGE_SUBSCRIPTION_REFUNDED_BODY";"[header]

Your page subscription has been refunded and is no longer active.

[page_subscription_title]
[page_subscription_description]

You may follow the link below to sign in.

[object_link]

[footer]"

"This is a list all packages. Use form to filter packages.";"Below you can view a list of available packages which are used by members on page creation process."
"PAGE_VIEWS_ADMIN_SUBSCRIPTION_INDEX_DESCRIPTION";"Browse and manage page subscriptions. The search box will look through page name, package, etc."
"STORE_PAGE_NEW_PRODUCT_DESCRIPTION_FORM";"Please provide detailed and clear information about your product. Your product will be available for your customers instantly."
"PAGE_Auto Approved_DESC";"Your page will be approved automatically and available for visitors instantly. Otherwise our staff member will check and approve your page manually."
"PAGE_Sponsored_DESC";"Your page is sponsored and highlighted in Pages Directory and advertised throughout our social network."
"PAGE_Featured_DESC";"Your page is featured and highlighted in Pages Directory and advertised throughout our social network."
"PAGE_Layout Editor_DESC";"You can customize look and feel of your page using our powerful Layout Editor."
"PAGE_Column Change_DESC";"You can customize columns of your page."
"Album_DESC";"Upload photos and create nice slideshows."
"Blog_DESC";"Create and publish your page blog."
"Discussion_DESC";"Place where your page fans can discuss and share topics."
"Documents_DESC";"Allows you to upload and share documents files from your computer in many supported file formats"
