"HE - Donation";"HE - Social Donation"
"_ACTIVITY_ACTIONTYPE_PAGE_PROJECT_NEW";"New project entries in Page"
"ADMIN_ACTIVITY_TYPE_PAGE_CHARITY_NEW";"When a user creates a new charity in Page."
"ADMIN_ACTIVITY_TYPE_PAGE_PROJECT_NEW";"When a user creates a new project in Page."

"Donations";"Donations"
"Charities";"Charities"
"Projects";"Projects"
"Fundraisings";"Fundraisers"
"Create Charity";"Create a Charity"
"Short Description";"Short Description"
"Compose your new donation entry below, then click ""Post Donation Entry"" to publish the entry to your donation entries.";"Please fulfil the fields below to create a page for your charity or project. Please include as much information as possible to attract more donors."
"Do you allow member to select the donation amount himself?";"Allow member to select the donation amount himself?"
"List of predefined donation amounts";"List of predefined donation amounts"
"Allow anonymous donations? If donor select anonymous donation then his name and photo are hidden from public.";"Allow anonymous donations? If donor selects anonymous donation then his name and photo are hidden from public."
"DONATION_UPLOAD_A_PHOTO_DESCRIPTION";"Upload photos to attract more visitors"
"Initialization";"Not Published"
"No photos have been uploaded to this donation yet.";"No photos have been uploaded yet."
"Donation Profile";"Donation Profile"
"This is view pafe for donation.";"Donate or help us to raise money."
"Created by %1$s on %2$s";"Created by %1$s on %2$s"
"%s day left";"%s day left";"%s days left"
"Create New Project";"Create New Project"
"DONATION_EXPIRY_DATE_DESC";"You can set expiry date for your project, otherwise leave this field empty."
"Minimal Amount";"Minimal Donation Amount"
"Create Project";"Create Project"
"This page displays a fundraise donations entry";"Browse fundraisers and help them to raise money"
"Fundraising";"Fundraising"
"This page displays a project donations entry";"Browse projects and help them to raise money"
"This page displays a charity donations entry";"Browse charities and help them to raise money"
"Promote Donation";"Promote Donation"
"is raising funds for";"is raising funds for"
"Fundraising Profile";"Fundraising Profile"
"Fundraisers (%s)";"Fundraisers (%s)"
"See fundraiser page";"See fundraiser page"
"Create Fundraising Page";"Create Fundraising Page"
"Raise Money for Us";"Raise Money for Us"
"Making Donation";"Making Donation"
"Making donation page";"Making Donation page"
"Donations (%s)";"Donations (%s)"
"Donation by ";"Donation by "
"View All";"view all"
"Top Donors List";"Top Donors"
"Thank you to everyone who donated and supported.";"Thank you to everyone who donated and supported."
"Completed";"Completed"
"donated";"donated"
"DONATION_My Donations";"My Donations"
"ITEM_TYPE_DONATION";"Donations"
"Edit Base Information";"Edit Base Information"
"PayPal Email Address";"PayPal Email Address"
"Financial Information For Donation";"Financial Information"
"pagetitle-donation-fininfo-charity";"Edit Financial Information"
"pagetitle-donation-view-photo";"Manage Photos"
"Edit Charity";"Edit Charity"
"pagetitle-donation-edit-charity";"Edit Charity"
"pagetitle-donation-index-page";"Manage Causes"
"Manage Donations";"Manage Causes"
"pagetitle-donation-fininfo-project";"Edit Financial Information"
"Edit Project";"Edit Project"
"pagetitle-donation-edit-project";"Edit Project"
"My Donations";"My Causes"
"pagetitle-donation-manage-index";"My Causes"
"Create Fundraising";"Create Fundraising"
"pagetitle-donation-create-fundraise";"Create Fundraising"
"This is view pafe for fundraising.";"This is fundraising page"

"DONATION_SETTING_APPROVAL";"Donations Auto-approval"
"DONATION_New Donations Approval";"Auto-approve new submitted donations"
"DONATION_approved0";"approve"
"DONATION_approved1";"disapprove"
"DONATION_Not Approved";"Not Approved"
"DONATION_Your donation is not approved. Please wait while administrator approve this donation.";"Your donation is not approved. Please wait while administrator approve this donation."
"{item:$subject} posted a new charity:";"{item:$subject} posted a new charity:"
"{item:$subject} posted a new project:";"{item:$subject} posted a new project:"
"{item:$subject}  is raising funds for {itemParent:$object}:";"{item:$subject}  is raising funds for {itemParent:$object}:"
"{actors:$subject:$object} posted a new charity:";"{actors:$subject:$object} posted a new charity:"
"{actors:$subject:$object} posted a new project:";"{actors:$subject:$object} posted a new project:"
"%1$s raised so far";"%1$s raised so far"
"DONATION_VIEWS_SCRIPTS_ADMINSTATS_INDEX_DESCRIPTION";"Stay connected to the pulse of donations in your community. You can browse statistics by donation types(charity, projects, fundraising) and their change over different time periods."
"Yes, allow members to select the donation amount";"Yes, allow members to select the donation amount"
"No, select from predefined list";"No, select from predefined list"
